date;Italy;US;Spain;Germany;Korea,South
2020-01-22;0;1;0;0;0.0
2020-01-23;0;1;0;0;0.0
2020-01-24;0;2;0;0;0.0
2020-01-25;0;2;0;0;0.0
2020-01-26;0;5;0;0;0.0
2020-01-27;0;5;0;1;0.0
2020-01-28;0;5;0;4;0.0
2020-01-29;0;6;0;4;0.0
2020-01-30;0;6;0;4;0.0
2020-01-31;2;8;0;5;0.0
2020-02-01;2;8;1;8;0.0
2020-02-02;2;8;1;10;0.0
2020-02-03;2;11;1;12;0.0
2020-02-04;2;11;1;12;0.0
2020-02-05;2;11;1;12;0.0
2020-02-06;2;12;1;12;0.0
2020-02-07;3;12;1;13;0.0
2020-02-08;3;12;1;13;0.0
2020-02-09;3;12;2;14;0.0
2020-02-10;3;12;2;14;0.0
2020-02-11;3;13;2;16;0.0
2020-02-12;3;13;2;16;0.0
2020-02-13;3;14;2;16;0.0
2020-02-14;3;14;2;16;0.0
2020-02-15;3;14;2;16;0.0
2020-02-16;3;14;2;16;0.0
2020-02-17;3;14;2;16;0.0
2020-02-18;3;14;2;16;0.0
2020-02-19;3;14;2;16;0.0
2020-02-20;3;14;2;16;0.0
2020-02-21;20;16;2;16;0.0
2020-02-22;62;16;2;16;0.0
2020-02-23;155;16;2;16;0.0
2020-02-24;229;16;2;16;0.0
2020-02-25;322;16;6;16;0.0
2020-02-26;453;16;13;21;0.0
2020-02-27;655;17;15;26;0.0
2020-02-28;888;17;32;53;0.0
2020-02-29;1128;25;45;66;0.0
2020-03-01;1694;32;84;117;0.0
2020-03-02;2036;55;120;150;0.0
2020-03-03;2502;74;165;188;0.0
2020-03-04;3089;107;222;240;0.0
2020-03-05;3858;184;259;349;0.0
2020-03-06;4636;237;400;534;0.0
2020-03-07;5883;403;500;684;0.0
2020-03-08;7375;519;673;847;0.0
2020-03-09;9172;594;1073;1112;0.0
2020-03-10;10149;782;1695;1296;0.0
2020-03-11;12462;1147;2277;1567;0.0
2020-03-12;15113;1586;2277;2369;0.0
2020-03-13;17660;2219;5232;3062;0.0
2020-03-14;21157;2978;6391;3795;0.0
2020-03-15;24747;3212;7798;4838;0.0
